viral,Preys,PreyGene,MIST,Saint_BFDR,AvgSpec,FoldChange,Uniprot Protein ID
nsp9,P61962,DCAF7,0.969234024,0,16,160,DCAF7_HUMAN
nsp9,Q15056,EIF4H,0.86901939,0,6,60,IF4H_HUMAN
nsp9,Q7Z3B4,NUP54,0.991624822,0,21.33,213.33,NUP54_HUMAN
nsp9,Q86YT6,MIB1,0.89782233,0,15,150,MIB1_HUMAN
nsp9,Q8N0X7,SPART,0.962964129,0,13.67,136.67,SPART_HUMAN
nsp9,Q8TD19,NEK9,0.991972865,0,39,390,NEK9_HUMAN
nsp9,Q96F45,ZNF503,0.777581447,0,34,93.5,ZN503_HUMAN
nsp9,Q99567,NUP88,0.92724312,0,3.67,36.67,NUP88_HUMAN
nsp9,Q9BVL2,NUP58,0.979586223,0,12,120,NUP58_HUMAN
nsp9,Q9NZL9,MAT2B,0.978282655,0,4.33,43.33,MAT2B_HUMAN
nsp9,Q9UBX5,FBLN5,0.992002193,0.01,2,20,FBLN5_HUMAN
orf10,P50897,PPT1,0.777920681,0,6,60,PPT1_HUMAN
orf10,Q13617,CUL2,0.818290141,0,12.33,123.33,CUL2_HUMAN
orf10,Q3KQU3,MAP7D1,0.814143575,0,7.67,76.67,MA7D1_HUMAN
orf10,Q9BU02,THTPA,0.927363101,0,2.67,26.67,THTPA_HUMAN
orf10,Q9C0D3,ZYG11B,0.85402934,0,27,270,ZY11B_HUMAN
orf10,Q9Y5J9,TIMM8B,0.752997484,0,2.33,23.33,TIM8B_HUMAN
orf10,P62877,RBX1,0.63921796,0.05,2,20,RBX1_HUMAN
orf10,Q15369,ELOC,0.618948613,0,7.33,73.33,ELOC_HUMAN
orf10,Q15370,ELOB,0.655233005,0,4,40,ELOB_HUMAN
orf3a,P09601,HMOX1,0.993596312,0,12.33,123.33,HMOX1_HUMAN
orf3a,Q8IWR1,TRIM59,0.979280399,0,3.67,36.67,TRI59_HUMAN
orf3a,Q8N6S5,ARL6IP6,0.865135022,0,4.67,46.67,AR6P6_HUMAN
orf3a,Q96JC1,VPS39,0.878755935,0,13.33,133.33,VPS39_HUMAN
orf3a,Q96S66,CLCC1,0.920620901,0,20.33,203.33,CLCC1_HUMAN
orf3a,Q9H270,VPS11,0.967855711,0,4.33,43.33,VPS11_HUMAN
orf3a,Q9UH99,SUN2,0.880019941,0,11,110,SUN2_HUMAN
orf3a,Q9Y673,ALG5,0.860324884,0,8,80,ALG5_HUMAN
orf3b,Q9UJZ1,STOML2,0.929039041,0,8,80,STML2_HUMAN
orf6,P52948,NUP98,0.903566335,0,8,80,NUP98_HUMAN
orf6,P78406,RAE1,0.963218346,0,20.33,203.33,RAE1L_HUMAN
